순번,이름,나이,성별,지역,직업,교육수준,소득분위,결혼상태,관심사,가치관,라이프스타일,성격특성,미디어소비,쇼핑습관,사회적관계
176,가상인물_788936684,49,남성,부산,공무원,대졸,상위 20%,기혼,"패션/뷰티, 여행, IT/기술, 재테크, 운동","합리성, 자유, 안정, 개성, 환경 보호, 가족과 개인의 균형, 문화적 개방성, 자기계발",자녀결혼군,ESTJ,뉴스 앱/포털 이용,미지정,"집단주의적 성향, 가족 중심 문화, 체면 중시"
177,가상인물_746226836,68,남성,경북,은퇴자,대졸,20-40%,기혼,"여행, 운동, 음악","성공, 자유, 명예, 안정 추구, 공동체 의식, 건강, 가족 중시, 전통 존중, 희생",액티브시니어족,ESTJ,SNS 활발,미지정,체면 중시
178,가상인물_518177414,16,남성,경기,중학생,고졸,상위 20%,미혼,"IT/기술, 봉사활동, 재테크, 패션/뷰티, 독서, 영화/드라마","다양성 존중, 가치소비, 디지털 네이티브, 가족, 명예, 안정, 개인주의, 공정성 중시",중고등학생군,INFP,유튜브/OTT 시청,미지정,"집단주의적 성향, 가족 중심 문화, 정 문화"
179,가상인물_749801260,69,여성,부산,농업,대졸,20-40%,기혼,"봉사활동, 음악, 반려동물, 여행","사회적 기여, 성공, 가족, 안정 추구, 안정, 공동체 의식, 희생, 가족 중시, 전통 존중, 개인 성장",액티브시니어족,ISFJ,웹툰/웹소설 소비,미지정,"선후배 관계 중시, 가족 중심 문화"
180,가상인물_290970208,44,남성,경기,육아휴직중,고졸,60-80%,미혼,"게임, 영화/드라마, 패션/뷰티, IT/기술, 운동, 요리","경험 중시, 성공, 사회적 가치, 개성 표현, 가족, 재테크 관심, 워라밸, 개인 성장",영아자녀보유군,INFP,SNS 활발,미지정,"체면 중시, 가족 중심 문화, 집단주의적 성향"
181,가상인물_689393993,11,남성,경기,대학생,초졸,40-60%,미혼,"요리, 음악, 영화/드라마, 반려동물, IT/기술, 봉사활동","다양성 존중, 가치소비, 성공, 디지털 네이티브, 개인주의, 건강, 공정성 중시, 개인 성장, 재물",중고등학생군,INFP,SNS 활발,미지정,체면 중시
182,가상인물_169640736,54,남성,울산,취업준비생,대졸,40-60%,미혼,"IT/기술, 영화/드라마, 음악","합리성, 명예, 개성, 환경 보호, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",나혼산족,INTJ,웹툰/웹소설 소비,미지정,"집단주의적 성향, 체면 중시, 선후배 관계 중시"
183,가상인물_511581080,10,남성,경남,중학생,중졸,하위 20%,기혼,"영화/드라마, 여행, 재테크, 독서, 게임, 음악","다양성 존중, 가치소비, 디지털 네이티브, 명예, 개인주의, 건강, 환경 보호, 공정성 중시",중고등학생군,INFP,SNS 활발,미지정,선후배 관계 중시
184,가상인물_214425056,15,남성,강원,고등학생,중졸,하위 20%,미혼,"여행, 운동, 게임, 요리, IT/기술","다양성 존중, 가치소비, 디지털 네이티브, 자유, 가족, 안정, 개인주의, 공정성 중시, 재물",중고등학생군,INFP,유튜브/OTT 시청,미지정,"집단주의적 성향, 선후배 관계 중시, 체면 중시"
185,가상인물_349770279,47,남성,전남,"전문직(의사, 변호사 등)",대졸,20-40%,기혼,"음악, 재테크, 봉사활동","성공, 합리성, 자유, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발",자녀결혼군,ESTJ,뉴스 앱/포털 이용,미지정,가족 중심 문화
186,가상인물_164308493,19,남성,인천,고등학생,대졸,하위 20%,기혼,"음악, 요리, IT/기술, 재테크, 반려동물","사회적 기여, 다양성 존중, 가치소비, 디지털 네이티브, 자유, 안정, 개인주의, 건강, 환경 보호, 공정성 중시",신혼부부군,INFP,유튜브/OTT 시청,미지정,"집단주의적 성향, 정 문화"
187,가상인물_439670913,30,남성,경남,공무원,대졸,상위 20%,기혼,"재테크, 반려동물, 패션/뷰티, 여행","경험 중시, 성공, 사회적 가치, 개성 표현, 명예, 재테크 관심, 워라밸, 개인 성장, 재물",신혼부부군,ESTJ,웹툰/웹소설 소비,미지정,체면 중시
188,가상인물_453918570,55,남성,충북,영업/마케팅,대졸,상위 20%,미혼,"봉사활동, 운동, 영화/드라마, 반려동물","사회적 기여, 합리성, 안정, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",액티브시니어족,ENTJ,유튜브/OTT 시청,미지정,"선후배 관계 중시, 체면 중시, 정 문화"
189,가상인물_443482760,46,남성,울산,프리랜서,고졸,40-60%,미혼,"IT/기술, 운동, 패션/뷰티, 요리, 게임","사회적 기여, 성공, 합리성, 가족, 안정, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발",나혼산족,INTP,유튜브/OTT 시청,미지정,선후배 관계 중시
190,가상인물_567434599,18,남성,서울,초등학생,고졸,20-40%,기혼,"게임, 요리, 반려동물, 독서","사회적 기여, 다양성 존중, 가치소비, 디지털 네이티브, 개인주의, 건강, 공정성 중시, 재물",초등자녀보유군,ISTJ,유튜브/OTT 시청,미지정,"체면 중시, 선후배 관계 중시, 집단주의적 성향"
191,가상인물_988031364,16,여성,경기,중학생,중졸,40-60%,미혼,"요리, 음악, IT/기술, 영화/드라마, 패션/뷰티, 재테크","사회적 기여, 다양성 존중, 가치소비, 디지털 네이티브, 개인주의, 공정성 중시, 재물",중고등학생군,INFP,뉴스 앱/포털 이용,미지정,"가족 중심 문화, 정 문화"
192,가상인물_704913623,32,남성,충남,"전문직(의사, 변호사 등)",고졸,20-40%,미혼,"봉사활동, IT/기술, 패션/뷰티, 요리, 재테크","경험 중시, 사회적 기여, 사회적 가치, 개성 표현, 명예, 재테크 관심, 건강, 워라밸",나혼산족,INFP,뉴스 앱/포털 이용,미지정,"정 문화, 선후배 관계 중시, 집단주의적 성향"
193,가상인물_279983770,70,여성,경기,프리랜서,고졸,40-60%,사별,"독서, 봉사활동, 반려동물, 게임, 운동, 재테크","가족, 안정 추구, 공동체 의식, 환경 보호, 가족 중시, 개인 성장, 전통 존중, 희생",액티브시니어족,ISFJ,웹툰/웹소설 소비,미지정,"정 문화, 집단주의적 성향, 가족 중심 문화"
194,가상인물_621579038,34,여성,서울,기술직,고졸,하위 20%,기혼,"게임, 패션/뷰티, 봉사활동, 음악, 여행, IT/기술","경험 중시, 사회적 가치, 개성 표현, 자유, 가족, 안정, 재테크 관심, 워라밸, 재물",신혼부부군,ISFJ,유튜브/OTT 시청,미지정,"가족 중심 문화, 정 문화"
195,가상인물_340020147,59,남성,인천,농업,고졸,상위 20%,기혼,"반려동물, 독서, IT/기술, 운동, 패션/뷰티, 봉사활동","합리성, 명예, 안정, 건강, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 재물",액티브시니어족,ESTJ,SNS 활발,미지정,정 문화
196,가상인물_527601849,68,남성,서울,임업,고졸,상위 20%,미혼,"요리, 음악, 영화/드라마, 독서, 반려동물, 게임","사회적 기여, 성공, 가족, 명예, 안정 추구, 공동체 의식, 희생, 가족 중시, 전통 존중, 개인 성장",액티브시니어족,ISTJ,웹툰/웹소설 소비,미지정,"선후배 관계 중시, 정 문화"
197,가상인물_828506761,32,여성,서울,전업주부,초졸,60-80%,미혼,"운동, 패션/뷰티, 반려동물","경험 중시, 사회적 기여, 성공, 사회적 가치, 개성 표현, 가족, 재테크 관심, 워라밸",나혼산족,ISFP,유튜브/OTT 시청,미지정,"집단주의적 성향, 정 문화"
198,가상인물_980107574,49,남성,제주,전업주부,고졸,20-40%,기혼,"봉사활동, 패션/뷰티, 여행, 반려동물","사회적 기여, 성공, 합리성, 개성, 환경 보호, 가족과 개인의 균형, 문화적 개방성, 자기계발",펫팸족,ISFJ,SNS 활발,미지정,"집단주의적 성향, 체면 중시, 가족 중심 문화"
199,가상인물_669631008,18,남성,서울,대학생,고졸,40-60%,이혼,"영화/드라마, 독서, 반려동물","사회적 기여, 다양성 존중, 가치소비, 성공, 디지털 네이티브, 자유, 명예, 개인주의, 공정성 중시",대학생군,INFP,SNS 활발,미지정,"체면 중시, 가족 중심 문화, 집단주의적 성향"
200,가상인물_504088191,73,남성,경기,"전문직(의사, 변호사 등)",중졸,40-60%,기혼,"패션/뷰티, 요리, 운동","성공, 자유, 가족, 안정 추구, 공동체 의식, 희생, 가족 중시, 전통 존중, 개인 성장, 재물",액티브시니어족,ISFJ,유튜브/OTT 시청,미지정,"가족 중심 문화, 집단주의적 성향, 정 문화"
201,가상인물_548835636,69,여성,경남,프리랜서,대학원졸,상위 20%,기혼,"영화/드라마, 반려동물, 봉사활동, IT/기술","가족, 명예, 안정 추구, 공동체 의식, 건강, 환경 보호, 가족 중시, 전통 존중, 희생",액티브시니어족,ISFJ,뉴스 앱/포털 이용,미지정,"체면 중시, 정 문화"
202,가상인물_771416592,26,여성,대전,프리랜서,대졸,40-60%,미혼,"운동, 봉사활동, 패션/뷰티","경험 중시, 사회적 기여, 성공, 사회적 가치, 개성 표현, 명예, 재테크 관심, 워라밸",나혼산족,ENFJ,뉴스 앱/포털 이용,미지정,"집단주의적 성향, 가족 중심 문화"
203,가상인물_264823871,39,여성,부산,프리랜서,대졸,20-40%,기혼,"IT/기술, 독서, 반려동물, 봉사활동","경험 중시, 사회적 가치, 개성 표현, 가족, 재테크 관심, 워라밸, 개인 성장",신혼부부군,INFJ,뉴스 앱/포털 이용,미지정,집단주의적 성향
204,가상인물_823061417,36,남성,서울,영업/마케팅,대졸,하위 20%,미혼,"IT/기술, 요리, 운동","경험 중시, 사회적 가치, 개성 표현, 자유, 가족, 명예, 재테크 관심, 건강, 환경 보호, 워라밸",나혼산족,INFP,SNS 활발,미지정,가족 중심 문화
205,가상인물_568286929,44,남성,서울,농업,중졸,상위 20%,기혼,"요리, 여행, 봉사활동, 운동, IT/기술","경험 중시, 사회적 기여, 사회적 가치, 개성 표현, 명예, 안정, 재테크 관심, 환경 보호, 워라밸",액티브시니어족,ESTJ,SNS 활발,미지정,"정 문화, 집단주의적 성향, 선후배 관계 중시"
206,가상인물_985232610,55,여성,경기,영업/마케팅,대졸,20-40%,기혼,"독서, 운동, 요리, 게임","사회적 기여, 합리성, 가족, 명예, 환경 보호, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 재물",액티브시니어족,ENFJ,SNS 활발,미지정,집단주의적 성향
207,가상인물_856664789,97,여성,경기,중소기업 대표,대학원졸,40-60%,기혼,"봉사활동, 운동, 게임","가족, 명예, 안정, 안정 추구, 공동체 의식, 가족 중시, 전통 존중, 희생",액티브시니어족,ISFJ,유튜브/OTT 시청,미지정,집단주의적 성향
208,가상인물_690155126,57,남성,경기,소상공인,대졸,20-40%,기혼,"요리, 영화/드라마, 재테크","성공, 합리성, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",자녀결혼군,ESTJ,SNS 활발,미지정,체면 중시
209,가상인물_902509889,89,여성,경북,취업준비생,고졸,하위 20%,기혼,"재테크, 독서, 요리, 반려동물","사회적 기여, 가족, 안정 추구, 안정, 공동체 의식, 건강, 가족 중시, 전통 존중, 희생",실버군,ISFJ,SNS 활발,미지정,가족 중심 문화
210,가상인물_407462561,40,여성,서울,공무원,고졸,상위 20%,기혼,"요리, 게임, 반려동물, IT/기술","경험 중시, 사회적 가치, 개성 표현, 자유, 안정, 재테크 관심, 건강, 워라밸",펫팸족,ESFJ,유튜브/OTT 시청,미지정,"정 문화, 가족 중심 문화"
211,가상인물_411185854,45,남성,서울,교사,대졸,60-80%,미혼,"영화/드라마, 독서, 요리, 음악","성공, 합리성, 안정, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장, 재물",나혼산족,INTJ,유튜브/OTT 시청,미지정,"정 문화, 선후배 관계 중시, 체면 중시"
212,가상인물_139133713,7,여성,경북,고등학생,초졸,40-60%,미혼,"게임, IT/기술, 운동, 패션/뷰티, 음악, 요리","자유, 개인 성장, 재물",중고등학생군,INFP,뉴스 앱/포털 이용,미지정,"체면 중시, 가족 중심 문화"
213,가상인물_150037165,77,여성,경기,프리랜서,중졸,40-60%,기혼,"게임, 운동, 영화/드라마, 재테크","사회적 기여, 안정 추구, 안정, 희생, 가족 중시, 전통 존중, 공동체 의식",액티브시니어족,ISFJ,유튜브/OTT 시청,미지정,"가족 중심 문화, 체면 중시, 선후배 관계 중시"
214,가상인물_933807028,20,남성,경기,기술직,고졸,상위 20%,기혼,"운동, 여행, 패션/뷰티, 게임","다양성 존중, 가치소비, 성공, 디지털 네이티브, 개인주의, 공정성 중시, 개인 성장",신혼부부군,ESTJ,뉴스 앱/포털 이용,미지정,"선후배 관계 중시, 체면 중시"
215,가상인물_151645670,48,남성,부산,공무원,대졸,하위 20%,기혼,"운동, 재테크, 요리, 영화/드라마, 패션/뷰티, 여행","사회적 기여, 합리성, 자유, 안정, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",자녀결혼군,ISFJ,유튜브/OTT 시청,미지정,"집단주의적 성향, 가족 중심 문화"
216,가상인물_523928215,0,남성,전남,대학원생,초졸,20-40%,기혼,"음악, 게임, 재테크","사회적 기여, 가족",신혼부부군,INFP,SNS 활발,미지정,정 문화
217,가상인물_416105296,28,남성,경기,은퇴자,고졸,60-80%,기혼,"요리, 운동, 독서, 영화/드라마","경험 중시, 성공, 사회적 가치, 개성 표현, 자유, 재테크 관심, 워라밸",액티브시니어족,ESTJ,유튜브/OTT 시청,미지정,"가족 중심 문화, 정 문화, 체면 중시"
218,가상인물_450687650,24,남성,대전,기술직,대졸,20-40%,미혼,"음악, 영화/드라마, 게임, 요리, 봉사활동, 독서","다양성 존중, 가치소비, 디지털 네이티브, 가족, 개인주의, 공정성 중시, 재물",사회초년생군,INFP,SNS 활발,미지정,집단주의적 성향
219,가상인물_516328493,41,여성,서울,기타 무직,고졸,20-40%,기혼,"영화/드라마, 여행, 요리, 반려동물","경험 중시, 성공, 사회적 가치, 개성 표현, 가족, 명예, 재테크 관심, 건강, 환경 보호, 워라밸",신혼부부군,ISFJ,뉴스 앱/포털 이용,미지정,체면 중시
220,가상인물_245217999,22,남성,부산,농업,고졸,60-80%,미혼,"독서, 봉사활동, 여행, 패션/뷰티, 음악","다양성 존중, 가치소비, 디지털 네이티브, 가족, 명예, 개인주의, 환경 보호, 공정성 중시",나혼산족,INFP,웹툰/웹소설 소비,미지정,"정 문화, 체면 중시, 가족 중심 문화"
221,가상인물_477040893,40,여성,경기,육아휴직중,대졸,60-80%,미혼,"반려동물, 운동, 여행, 재테크","경험 중시, 사회적 가치, 개성 표현, 재테크 관심, 건강, 워라밸, 개인 성장, 재물",영아자녀보유군,INFP,유튜브/OTT 시청,미지정,"정 문화, 선후배 관계 중시"
222,가상인물_158521265,53,여성,부산,영업/마케팅,고졸,60-80%,기혼,"음악, 패션/뷰티, IT/기술, 독서, 반려동물, 봉사활동","합리성, 가족, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 재물",자녀결혼군,ESFJ,뉴스 앱/포털 이용,미지정,정 문화
223,가상인물_221212568,26,여성,부산,사무직,대졸,상위 20%,미혼,"재테크, 패션/뷰티, 영화/드라마","경험 중시, 사회적 기여, 사회적 가치, 개성 표현, 명예, 재테크 관심, 워라밸",사회초년생군,ENFJ,유튜브/OTT 시청,미지정,"선후배 관계 중시, 가족 중심 문화, 집단주의적 성향"
224,가상인물_555873918,52,남성,경기,사무직,대졸,하위 20%,기혼,"봉사활동, 독서, 여행, 반려동물","성공, 합리성, 자유, 명예, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발",자녀결혼군,ISFJ,유튜브/OTT 시청,미지정,정 문화
225,가상인물_207683063,69,여성,대구,취업준비생,고졸,40-60%,미혼,"음악, 요리, 봉사활동, 여행, 반려동물, 패션/뷰티","성공, 자유, 안정 추구, 공동체 의식, 개인 성장, 가족 중시, 전통 존중, 희생",액티브시니어족,ISFJ,유튜브/OTT 시청,미지정,"선후배 관계 중시, 체면 중시, 가족 중심 문화"
226,가상인물_763805269,68,여성,서울,중소기업 대표,대졸,60-80%,기혼,"IT/기술, 독서, 음악","자유, 명예, 안정, 안정 추구, 공동체 의식, 희생, 가족 중시, 전통 존중, 개인 성장, 재물",액티브시니어족,ISFJ,뉴스 앱/포털 이용,미지정,"정 문화, 선후배 관계 중시, 집단주의적 성향"
227,가상인물_250946421,56,여성,충남,프리랜서,대졸,20-40%,기혼,"영화/드라마, 요리, 여행","사회적 기여, 성공, 합리성, 자유, 건강, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 재물",자녀결혼군,ESFJ,뉴스 앱/포털 이용,미지정,"체면 중시, 집단주의적 성향, 선후배 관계 중시"
228,가상인물_553522028,69,남성,제주,기타 무직,고졸,상위 20%,미혼,"음악, IT/기술, 독서, 패션/뷰티, 봉사활동, 영화/드라마","성공, 가족, 안정 추구, 공동체 의식, 환경 보호, 가족 중시, 희생, 전통 존중, 개인 성장",액티브시니어족,INFJ,SNS 활발,미지정,"체면 중시, 정 문화, 가족 중심 문화"
229,가상인물_112051915,41,여성,서울,공무원,대졸,상위 20%,기혼,"요리, 영화/드라마, 반려동물, 음악, 독서, 재테크","경험 중시, 사회적 가치, 개성 표현, 가족, 명예, 재테크 관심, 건강, 워라밸, 개인 성장",펫팸족,ISFJ,뉴스 앱/포털 이용,미지정,"선후배 관계 중시, 가족 중심 문화"
230,가상인물_285861376,6,여성,전남,중학생,초졸,하위 20%,이혼,"패션/뷰티, 독서, 요리, 반려동물, 봉사활동","사회적 기여, 건강",초등자녀보유군,ISFJ,유튜브/OTT 시청,미지정,"가족 중심 문화, 집단주의적 성향"
231,가상인물_356480761,59,남성,경기,농업,대졸,60-80%,미혼,"봉사활동, 운동, 음악","합리성, 자유, 명예, 환경 보호, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",액티브시니어족,INFJ,뉴스 앱/포털 이용,미지정,"집단주의적 성향, 체면 중시"
232,가상인물_979452618,45,남성,충북,영업/마케팅,고졸,40-60%,미혼,"IT/기술, 패션/뷰티, 봉사활동, 음악","합리성, 환경 보호, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",나혼산족,INFP,유튜브/OTT 시청,미지정,"정 문화, 집단주의적 성향"
233,가상인물_355852921,47,여성,대구,취업준비생,대졸,20-40%,기혼,"음악, 봉사활동, IT/기술, 반려동물","성공, 합리성, 명예, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 재물",신혼부부군,ISFJ,SNS 활발,미지정,"집단주의적 성향, 가족 중심 문화, 선후배 관계 중시"
234,가상인물_620257242,65,여성,인천,교사,대졸,하위 20%,미혼,"운동, 재테크, 영화/드라마, 패션/뷰티, 독서, 요리","사회적 기여, 안정 추구, 희생, 가족 중시, 전통 존중, 공동체 의식, 재물",액티브시니어족,ISFJ,유튜브/OTT 시청,미지정,"선후배 관계 중시, 집단주의적 성향"
235,가상인물_381454913,45,남성,대구,프리랜서,대졸,20-40%,미혼,"독서, 요리, 패션/뷰티, 게임, 운동, 재테크","사회적 기여, 합리성, 명예, 개성, 환경 보호, 가족과 개인의 균형, 문화적 개방성, 자기계발",나혼산족,INFP,웹툰/웹소설 소비,미지정,"집단주의적 성향, 정 문화"
236,가상인물_473896507,61,남성,인천,중소기업 대표,대졸,20-40%,미혼,"반려동물, 여행, 봉사활동, 재테크, 요리","자유, 안정 추구, 안정, 공동체 의식, 희생, 가족 중시, 전통 존중, 개인 성장, 재물",액티브시니어족,ISTJ,뉴스 앱/포털 이용,미지정,"가족 중심 문화, 체면 중시"
237,가상인물_218570130,33,여성,제주,기술직,대졸,40-60%,미혼,"여행, 반려동물, 패션/뷰티, 봉사활동","경험 중시, 성공, 사회적 가치, 개성 표현, 재테크 관심, 건강, 워라밸, 개인 성장, 재물",나혼산족,ENFP,SNS 활발,미지정,체면 중시
238,가상인물_161384636,75,여성,경기,프리랜서,고졸,상위 20%,기혼,"요리, 패션/뷰티, 영화/드라마","사회적 기여, 자유, 가족, 안정, 안정 추구, 공동체 의식, 가족 중시, 전통 존중, 희생, 재물",실버군,ISFJ,유튜브/OTT 시청,미지정,"가족 중심 문화, 정 문화"
239,가상인물_991301752,28,남성,경남,교사,고졸,20-40%,기혼,"영화/드라마, 반려동물, 음악, IT/기술, 게임, 봉사활동","경험 중시, 성공, 사회적 가치, 개성 표현, 자유, 재테크 관심, 워라밸",신혼부부군,ENFP,SNS 활발,미지정,"체면 중시, 정 문화"
240,가상인물_921771164,61,여성,서울,공무원,대졸,40-60%,기혼,"패션/뷰티, 운동, 독서, 영화/드라마, 봉사활동","자유, 가족, 안정 추구, 공동체 의식, 가족 중시, 전통 존중, 희생, 재물",액티브시니어족,ISFJ,SNS 활발,미지정,가족 중심 문화
241,가상인물_876754566,47,여성,경기,사무직,대학원졸,20-40%,기혼,"반려동물, IT/기술, 여행, 영화/드라마, 재테크","합리성, 환경 보호, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",펫팸족,INFJ,뉴스 앱/포털 이용,미지정,"정 문화, 집단주의적 성향"
242,가상인물_909156496,80,남성,경기,영업/마케팅,대졸,하위 20%,미혼,"반려동물, 독서, 음악, 패션/뷰티, 게임, 여행","사회적 기여, 자유, 안정 추구, 공동체 의식, 건강, 가족 중시, 전통 존중, 희생",실버군,ISFJ,SNS 활발,미지정,"집단주의적 성향, 가족 중심 문화, 정 문화"
243,가상인물_908953843,65,남성,충북,소상공인,초졸,하위 20%,기혼,"반려동물, 요리, 운동","성공, 자유, 안정 추구, 안정, 공동체 의식, 가족 중시, 전통 존중, 희생",실버군,ISFJ,뉴스 앱/포털 이용,미지정,정 문화
244,가상인물_250223989,13,여성,충남,중학생,초졸,상위 20%,이혼,"운동, 음악, 반려동물, 봉사활동, 독서","다양성 존중, 가치소비, 성공, 디지털 네이티브, 가족, 개인주의, 공정성 중시",중고등학생군,INFP,뉴스 앱/포털 이용,미지정,가족 중심 문화
245,가상인물_165880740,22,여성,경기,취업준비생,고졸,20-40%,기혼,"봉사활동, 게임, 영화/드라마","다양성 존중, 가치소비, 디지털 네이티브, 안정, 개인주의, 건강, 환경 보호, 공정성 중시, 개인 성장",신혼부부군,ISFJ,유튜브/OTT 시청,미지정,"정 문화, 가족 중심 문화"
246,가상인물_732813704,83,여성,경북,영업/마케팅,대졸,하위 20%,기혼,"봉사활동, 패션/뷰티, 운동, 여행","사회적 기여, 안정 추구, 공동체 의식, 가족 중시, 개인 성장, 전통 존중, 희생",액티브시니어족,ISFJ,뉴스 앱/포털 이용,미지정,"정 문화, 집단주의적 성향, 선후배 관계 중시"
247,가상인물_728583481,57,남성,경기,"전문직(의사, 변호사 등)",초졸,하위 20%,미혼,"패션/뷰티, 게임, 반려동물, IT/기술, 운동","사회적 기여, 합리성, 건강, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발",나혼산족,INFP,유튜브/OTT 시청,미지정,"정 문화, 가족 중심 문화, 집단주의적 성향"
248,가상인물_192693161,63,남성,경기,공무원,대졸,하위 20%,사별,"요리, 게임, 운동, 봉사활동, IT/기술","사회적 기여, 안정 추구, 공동체 의식, 환경 보호, 가족 중시, 전통 존중, 희생",실버군,ISFJ,뉴스 앱/포털 이용,미지정,"선후배 관계 중시, 체면 중시, 집단주의적 성향"
249,가상인물_583703192,30,여성,서울,교사,초졸,하위 20%,기혼,"IT/기술, 요리, 운동, 패션/뷰티","경험 중시, 사회적 가치, 개성 표현, 가족, 재테크 관심, 건강, 워라밸",신혼부부군,ISFJ,SNS 활발,미지정,집단주의적 성향
250,가상인물_830720182,17,남성,광주,고등학생,고졸,20-40%,기혼,"영화/드라마, 재테크, 패션/뷰티, IT/기술","다양성 존중, 가치소비, 디지털 네이티브, 가족, 개인주의, 공정성 중시, 개인 성장, 재물",신혼부부군,INFP,유튜브/OTT 시청,미지정,"집단주의적 성향, 정 문화, 선후배 관계 중시"
251,가상인물_682725228,9,남성,경남,대학생,초졸,하위 20%,기혼,"여행, 독서, 음악, 패션/뷰티, 영화/드라마, 재테크","자유, 명예, 안정, 건강, 환경 보호",초등자녀보유군,ISFJ,SNS 활발,미지정,"가족 중심 문화, 체면 중시"
252,가상인물_492457064,53,여성,광주,소상공인,대졸,20-40%,기혼,"여행, IT/기술, 운동, 요리, 반려동물, 봉사활동","사회적 기여, 성공, 합리성, 자유, 개성, 환경 보호, 가족과 개인의 균형, 문화적 개방성, 자기계발",액티브시니어족,ESFJ,뉴스 앱/포털 이용,미지정,"정 문화, 선후배 관계 중시, 체면 중시"
253,가상인물_156279630,51,여성,충남,사무직,초졸,상위 20%,미혼,"독서, 요리, IT/기술, 운동, 봉사활동","합리성, 건강, 환경 보호, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발",나혼산족,INTJ,뉴스 앱/포털 이용,미지정,정 문화
254,가상인물_481807874,45,남성,서울,교사,대학원졸,40-60%,기혼,"영화/드라마, 요리, 반려동물, 봉사활동, 운동, 음악","사회적 기여, 성공, 합리성, 개성, 건강, 가족과 개인의 균형, 문화적 개방성, 자기계발",중고등자녀보유군,ISFJ,유튜브/OTT 시청,미지정,"체면 중시, 집단주의적 성향, 정 문화"
255,가상인물_426748733,77,여성,서울,공무원,대졸,20-40%,사별,"여행, 패션/뷰티, 봉사활동, 영화/드라마, 운동, 요리","성공, 안정 추구, 공동체 의식, 환경 보호, 가족 중시, 전통 존중, 희생, 재물",액티브시니어족,ESFJ,SNS 활발,미지정,체면 중시
256,가상인물_332895880,5,여성,경기,고등학생,중졸,20-40%,기혼,"독서, 영화/드라마, 음악, 운동","사회적 기여, 가족",초등자녀보유군,ISFJ,뉴스 앱/포털 이용,미지정,정 문화
257,가상인물_728177259,46,남성,대전,영업/마케팅,대졸,상위 20%,기혼,"음악, 게임, 패션/뷰티, IT/기술, 여행","합리성, 명예, 환경 보호, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 재물",자녀결혼군,ENTJ,SNS 활발,미지정,"가족 중심 문화, 체면 중시"
258,가상인물_787865795,26,남성,경북,임업,고졸,60-80%,미혼,"운동, 요리, 패션/뷰티, 게임, 독서","경험 중시, 사회적 가치, 개성 표현, 가족, 명예, 안정, 재테크 관심, 건강, 워라밸, 개인 성장",사회초년생군,INFP,유튜브/OTT 시청,미지정,가족 중심 문화
259,가상인물_203173769,36,남성,경기,은퇴자,대졸,하위 20%,기혼,"영화/드라마, 재테크, 운동","경험 중시, 사회적 기여, 사회적 가치, 개성 표현, 자유, 안정, 재테크 관심, 환경 보호, 워라밸, 재물",액티브시니어족,ISFJ,SNS 활발,미지정,"체면 중시, 집단주의적 성향, 선후배 관계 중시"
260,가상인물_783376926,26,여성,대전,공무원,대졸,하위 20%,기혼,"봉사활동, 요리, 음악","경험 중시, 사회적 기여, 사회적 가치, 개성 표현, 명예, 재테크 관심, 환경 보호, 워라밸",신혼부부군,ISFJ,유튜브/OTT 시청,미지정,"정 문화, 가족 중심 문화, 체면 중시"
261,가상인물_168339729,36,여성,경기,취업준비생,고졸,60-80%,기혼,"봉사활동, 게임, 음악, 여행, 반려동물, 패션/뷰티","경험 중시, 성공, 사회적 가치, 개성 표현, 자유, 가족, 안정, 재테크 관심, 워라밸",신혼부부군,ISFJ,웹툰/웹소설 소비,미지정,"선후배 관계 중시, 정 문화, 집단주의적 성향"
262,가상인물_774591460,5,남성,서울,고등학생,초졸,상위 20%,미혼,"재테크, 봉사활동, 요리, 운동, 패션/뷰티, 여행","성공, 가족, 명예, 건강, 개인 성장",중고등학생군,INFP,뉴스 앱/포털 이용,미지정,"가족 중심 문화, 집단주의적 성향, 정 문화"
